기준일	포함여부	순번	섹션	언론사	제목	발행일시	URL	수집풀
2026-07-15	메일 포함	1	동국대 [법인/건학위]	국민일보	‘2026 안전보건공시제 대응방안 세미나’ 동국대서 열려	2026-07-14 00:02:36+00:00	https://v.daum.net/v/7xmkSbztl0	dongguk_core
2026-07-15	메일 포함	2	동국대 [법인/건학위]	서울신문	세종대·동국대 ‘지능IoT 공동학위’ 띄운다… 내년부터 시범 운영	2026-07-14 05:41:29+00:00	https://www.seoul.co.kr/news/society/2026/07/14/20260714500154	dongguk_core
2026-07-15	메일 포함	3	동국대 [법인/건학위]	베리타스알파	동국대 2026학년 교사연수 'Dream Workshop' 성료	2026-07-14 04:24:27+00:00	https://www.veritas-a.com/news/articleView.html?idxno=619177	dongguk_core
2026-07-15	메일 포함	4	동국대 [법인/건학위]	경북도민일보	동국대 WISE캠퍼스, 베트남 유학생 유치 확대 나서	2026-07-14 08:15:19+00:00	https://v.daum.net/v/tNNQax6byG	dongguk_core
2026-07-15	메일 포함	5	동국대 [법인/건학위]	동국대학교	동국대 황훈성 명예교수, 대한민국학술원 신임회원 선정	2026-07-14 15:00:00+00:00	https://www.dongguk.edu/article/ACARESE/detail/26765436	dongguk_core
2026-07-15	메일 포함	6	동국대 [법인/건학위]	불교닷컴	운문사 회주 명성 스님, 동국대일산병원에 1,080만원 희사	2026-07-14 12:21:16+00:00	https://www.bulkyo21.com/news/articleView.html?idxno=64562	dongguk_core
2026-07-15	메일 포함	7	대학 [교육]	v.daum.net	지역인재 키울 '앵커' 협력체계 마련…고등교육법 시행령 의결 - v.daum.net	2026-07-14 04:30:39+00:00	https://v.daum.net	education
2026-07-15	메일 포함	8	대학 [교육]	뉴스핌	교육부, 대학 교지·교사 임차 범위 시군구서 시도로 확대 추진 - 뉴스핌	2026-07-14 21:00:00+00:00	https://www.newspim.com/news/view/20260714001019	education
2026-07-15	메일 포함	9	불교 [종단]	브레이크뉴스	[인터뷰] 퇴우 정념 스님 “준비 끝났다, 이제는 실천의 시간”	2026-07-14 06:20:00+00:00	http://www.breaknews.com/1221655	buddhism
2026-07-15	메일 포함	10	불교 [종단]	불교방송	정광고 '출가 상담 부스' 눈길…청소년 포교 새로운 가능성 확인	2026-07-14 08:39:37+00:00	https://news.bbsi.co.kr/news/articleView.html?idxno=4095040	buddhism
2026-07-15	메일 제외	11	동국대 [법인/건학위]	주간한국	카드론 불어났지만 수익은 감소…카드사 덮친 '3중고' 때문	2026-07-14 09:00:00+00:00	https://weekly.hankooki.com/news/articleView.html?idxno=7174221	dongguk_core
2026-07-15	메일 제외	12	동국대 [법인/건학위]	파이낸셜뉴스	줄줄 새는 경찰 단속·수사 정보… 범인은 내부에 있었다 [기로에 선 보...	2026-07-14 09:21:58+00:00	http://www.fnnews.com/news/202607141821541175	dongguk_core
2026-07-15	메일 제외	13	동국대 [법인/건학위]	국내유일학회전문미디어 메디컬월드뉴스	자살시도자 사후관리 응급실 100곳으로 확대	2026-07-14 10:40:00+00:00	https://medicalworldnews.co.kr/news/view.php?idx=1510975936	dongguk_core
2026-07-15	메일 제외	14	동국대 [법인/건학위]	(주) 서울경제티브이	경주시, 2250억원 규모 첫 추경 편성…민생경제·생활밀착사업 집중	2026-07-14 11:40:00+00:00	https://www.sentv.co.kr/article/view/sentv202607140081	dongguk_core
2026-07-15	메일 제외	15	동국대 [법인/건학위]	세계일보	경주시, 2250억 규모 첫 추경 편성, 지역경제·SOC 집중 투자	2026-07-14 13:00:00+00:00	https://www.segye.com/newsView/20260714522886?OutUrl=naver	dongguk_core
2026-07-15	메일 제외	16	동국대 [법인/건학위]	SR타임스	안전보건 공시제 대응 세미나, 20일 동국대서 개최	2026-07-14 10:35:51+00:00	http://www.srtimes.kr/news/articleView.html?idxno=207476	dongguk_core
2026-07-15	메일 제외	17	동국대 [법인/건학위]	국민일보	‘2026 안전보건공시제 대응방안 세미나’ 동국대서 열려	2026-07-14 00:00:00+00:00	https://www.kmib.co.kr/article/view.asp?arcid=0030105880&code=61122011&cp=nv	
