기준일	포함여부	순번	섹션	언론사	제목	발행일시	URL	수집풀
2026-07-21	메일 포함	1	동국대 [법인/건학위]	스마트경제	“OLED 수명 비밀, 실시간으로 깠다”…류승윤 동국대 물리학과 교수 연구팀, 세계 첫 ‘오페란도’ 분석 플랫폼 개발	2026-07-20 23:00:00+00:00	http://www.dailysmart.co.kr/news/articleView.html?idxno=127117	dongguk_core
2026-07-21	메일 포함	2	동국대 [법인/건학위]	한스경제	크라우드웍스, 동국대-MBC와 피지컬 AI 산학협력	2026-07-20 02:04:50+00:00	http://www.hansbiz.co.kr/news/articleView.html?idxno=851111	dongguk_core
2026-07-21	메일 포함	3	동국대 [법인/건학위]	동국대학교	동국대, 2026년 서울시 '지역성장 인재양성체계(앵커, ANCHOR)’ 과제 2건 신규 선정	2026-07-20 15:00:00+00:00	https://www.dongguk.edu/article/SCHOOLNEWS/detail/26765485	dongguk_core
2026-07-21	메일 포함	4	동국대 [법인/건학위]	아시아투데이	동국대, 고양산업진흥원과 '우수 창업기업 지원' 업무협약	2026-07-20 08:21:29+00:00	https://www.asiatoday.co.kr/kn/view.php?key=20260720010007133	dongguk_core
2026-07-21	메일 포함	5	동국대 [법인/건학위]	베리타스알파	[2027수시특집] 동국대 1759명(60.1%) ‘비슷’.. '대표 학종' Do Dream 655명(22.4%) '유일 확대'	2026-07-20 07:26:57+00:00	https://www.veritas-a.com/news/articleView.html?idxno=619808	dongguk_core
2026-07-21	메일 포함	6	동국대 [법인/건학위]	불교닷컴	힙부즈 손묘경 대표, 동국대일산병원 발전기금 보시	2026-07-20 08:05:57+00:00	https://www.bulkyo21.com/news/articleView.html?idxno=64602	dongguk_core
2026-07-21	메일 포함	7	대학 [교육]	�����Ź�	[와이라노] ‘80조 규모’ 지방교육재정교부금 수술대 오른다	2026-07-20 00:07:00+00:00	http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20260720.99099005571	education
2026-07-21	메일 포함	8	대학 [교육]	뉴스핌	교육부, 첨단산업 특성화대학 경진대회 온라인 설명회 개최 - 뉴스핌	2026-07-20 03:00:00+00:00	https://www.newspim.com/news/view/20260720000102	education
2026-07-21	메일 포함	9	불교 [종단]	불교닷컴	직선제 추진본부, "선거제도 개편 필요성 제기 등 환영"	2026-07-20 08:53:49+00:00	http://www.bulkyo21.com/news/articleView.html?idxno=64607	buddhism
2026-07-21	메일 포함	10	불교 [종단]	대한불교조계종	AI, 한국불교 미래를 얘기하다 - 대한불교조계종	2026-07-20 21:29:37+00:00	https://www.buddhism.or.kr/m/board/view.php?skey=&sval=&scale=10&board_contents_idx=213950&board_idx=8	buddhism
2026-07-21	메일 제외	11	동국대 [법인/건학위]	뉴스핌	'삼전닉스' 레버리지 규제…증시 변동성 완화 한계 지적도	2026-07-20 07:35:00+00:00	https://www.newspim.com/news/view/20260720000928	dongguk_core
2026-07-21	메일 제외	12	동국대 [법인/건학위]	한겨레	기존 입시제도 ‘마지막 수시’…전략적 접근 필요	2026-07-20 08:22:00+00:00	https://www.hani.co.kr/arti/society/schooling/1269069.html	dongguk_core
2026-07-21	메일 제외	13	동국대 [법인/건학위]	경향신문	‘골칫거리’된 레버리지 ETF 후속대책은 괴리율 잡기?	2026-07-20 08:50:00+00:00	https://www.khan.co.kr/article/202607201750001	dongguk_core
2026-07-21	메일 제외	14	동국대 [법인/건학위]	6억 → 3억 조이면 서울 입성 ‘12억’ 필요- 매경ECONOMY	6억 → 3억 조이면 서울 입성 ‘12억’ 필요	2026-07-20 12:01:00+00:00	https://www.mk.co.kr/article/12101355	dongguk_core
2026-07-21	메일 제외	15	동국대 [법인/건학위]	헤럴드경제	‘이제 와 예탁금 올리면 뭐해’ 이미 살 사람 다 샀다…삼전닉스 레버...	2026-07-20 12:40:00+00:00	https://biz.heraldcorp.com/article/10813805?ref=naver	dongguk_core
2026-07-21	메일 제외	16	동국대 [법인/건학위]	경향신문	변동성 키우는 주범 ‘레버리지 ETF 괴리율’을 잡아라	2026-07-20 12:22:00+00:00	https://www.khan.co.kr/article/202607202122005	dongguk_core
2026-07-21	메일 제외	17	동국대 [법인/건학위]	Unknown	'증시 출렁' 금융위기때보다 더 하다…"무법 천지 카지노" 외신들도 쓴...	2026-07-20 12:16:34+00:00	https://news.tvchosun.com/site/data/html_dir/2026/07/20/2026072090247.html	dongguk_core
2026-07-21	메일 제외	18	동국대 [법인/건학위]	테크월드	크라우드웍스-동국대-MBC, 피지컬 AI 인재 양성 ‘맞손’ - 테크월드	2026-07-20 06:28:39+00:00	https://www.epnc.co.kr/news/articleView.html?idxno=404483	dongguk_core
2026-07-21	메일 제외	19	동국대 [법인/건학위]	파이낸셜투데이	단일종목 ETF 문턱 높였지만...학계 "과열 진정 효과 제한적"	2026-07-20 07:51:03+00:00	http://www.ftoday.co.kr/news/articleView.html?idxno=362296	dongguk_core
2026-07-21	메일 제외	20	동국대 [법인/건학위]	경기일보	경기지역 의료기관 18곳 파업 예고…노조 "23일 오전 7시부터 쟁의"	2026-07-20 08:52:00+00:00	https://www.kyeonggi.com/article/20260720580432	dongguk_core
2026-07-21	메일 제외	21	동국대 [법인/건학위]	중부일보 - 경기·인천의 든든한 친구	경기도 18개 대형병원 노조, "23일 총파업" 초읽기…도의료원엔 해묵은...	2026-07-20 08:01:00+00:00	https://www.joongboo.com/news/articleView.html?idxno=363731832	dongguk_core
2026-07-21	메일 제외	22	동국대 [법인/건학위]	뉴스1	경기 의료기관 18곳 노조 "인력 확충·경기의료원 임금체불 해결해야"	2026-07-20 08:31:32+00:00	https://www.news1.kr/local/gyeonggi/6233212	dongguk_core
2026-07-21	메일 제외	23	동국대 [법인/건학위]	아시아투데이	[지인엽의 법과 경제] 보완수사권과 형사사법의 총사회적 비용	2026-07-20 09:01:55+00:00	https://www.asiatoday.co.kr/kn/view.php?key=20260719010006475	dongguk_core
2026-07-21	메일 제외	24	동국대 [법인/건학위]	기호일보	경기 보건의료노조 쟁의 가결 임금 인상 안되면 23일 총파업	2026-07-20 10:12:35+00:00	https://www.kihoilbo.co.kr/news/articleView.html?idxno=3029392	dongguk_core
2026-07-21	메일 제외	25	동국대 [법인/건학위]	세계일보	“거동 불편한 어르신 댁으로 침·뜸 배달”…경기도, ‘한의약 공공의...	2026-07-20 07:48:23+00:00	https://www.segye.com/newsView/20260720518434?OutUrl=naver	dongguk_core
