기준일	포함여부	순번	섹션	언론사	제목	발행일시	URL	수집풀
2026-07-16	메일 포함	1	동국대 [법인/건학위]	동국대학교	물리학과 류승윤 교수 공동 연구팀, ‘오페란도 분석 플랫폼’ 개발… OLED 열화 메커니즘 실시간 규명	2026-07-15 15:00:00+00:00	https://www.dongguk.edu/article/ACARESE/detail/26765447	dongguk_core
2026-07-16	메일 포함	2	동국대 [법인/건학위]	문화일보	세종대·동국대, ‘지능 IoT’ 융합인재 양성 위해 공동학위제 운영 협약	2026-07-15 06:42:42+00:00	https://www.munhwa.com/article/11602920	dongguk_core
2026-07-16	메일 포함	3	동국대 [법인/건학위]	불교신문	‘힙부즈’ 손묘경 대표 부부, 동국대일산병원 발전기금 매년 100만원씩 보시	2026-07-15 09:06:05+00:00	http://www.ibulgyo.com/news/articleView.html?idxno=440196	dongguk_core
2026-07-16	메일 포함	4	불교 [종단]	법보신문	“올여름 부산 찾는 또 하나의 이유”…2026부산국제불교박람회 열린다	2026-07-15 05:39:20+00:00	https://www.beopbo.com/news/articleView.html?idxno=336611	buddhism
2026-07-16	메일 포함	5	동국대 [법인/건학위]	법보신문	동국대 종학연구소, 제7회 서울국제명상엑스포 개최	2026-07-15 01:17:03+00:00	https://www.beopbo.com/news/articleView.html?idxno=336608	dongguk_core
2026-07-16	메일 포함	6	동국대 [법인/건학위]	이뉴스투데이	고양산업진흥원, 동국대학교 경기앵커사업단과 업무협약 체결	2026-07-15 14:47:46+00:00	http://www.enewstoday.co.kr/news/articleView.html?idxno=2449146	dongguk_core
2026-07-16	메일 포함	7	동국대 [법인/건학위]	한국교육신문	동국대, 전국 고교 교사 대상 ‘Dream Workshop’	2026-07-15 09:56:54+00:00	https://www.hangyo.com/news/article.html?no=108504	dongguk_core
2026-07-16	메일 포함	8	대학 [교육]	한국대학신문 - 411개 대학을 연결하는 '힘'	대학혁신지원사업 총괄협, 국회서 토론회… 7년 성과 진단·미래 발전 방향 모색[대학혁신지원사업 토론회] - 한국대학신문	2026-07-15 06:52:49+00:00	https://news.unn.net/news/articleView.html?idxno=594835	education
2026-07-16	메일 포함	9	대학 [교육]	한국대학신문 - 411개 대학을 연결하는 '힘'	전문대교협 “전문대를 지역성장대학으로”… AI 실무인재 양성한다 - 한국대학신문	2026-07-15 00:00:00+00:00	https://news.unn.net/news/articleView.html?idxno=594787	education
2026-07-16	메일 포함	10	불교 [종단]	BTN불교TV	[기획 'AI 시대, 불교의 길' ➂] 가톨릭, AI 윤리 선언‥불교계 준비 상...	2026-07-15 22:00:00+00:00	https://www.btnnews.tv/news/articleView.html?idxno=90881	buddhism
2026-07-16	메일 제외	11	동국대 [법인/건학위]	뉴스클레임	13조 자금의 향방… 코스피 7천선 회복에도 개인 레버리지 손실 왜?	2026-07-15 11:26:26+00:00	https://www.newsclaim.co.kr/news/articleView.html?idxno=3069529	dongguk_core
2026-07-16	메일 제외	12	동국대 [법인/건학위]	MBC 뉴스	오늘도 레버리지에 13조 원 쏠려‥대통령 "신속히 대책 마련하라"	2026-07-15 11:38:29+00:00	https://imnews.imbc.com/replay/2026/nwdesk/article/6837726_37004.html	dongguk_core
2026-07-16	메일 제외	13	동국대 [법인/건학위]	파이낸셜투데이	담보 확실한데 이율 9%…10대 증권사, '매담대'로 이자수익 '훌쩍'	2026-07-15 09:00:03+00:00	http://www.ftoday.co.kr/news/articleView.html?idxno=362134	dongguk_core
2026-07-16	메일 제외	14	동국대 [법인/건학위]	동아일보	“주담대 한도 축소에 잠 못 이뤄…무주택자는 규제 풀어달라”	2026-07-15 10:47:00+00:00	https://www.donga.com/news/Economy/article/all/20260715/134305859/1	dongguk_core
2026-07-16	메일 제외	15	동국대 [법인/건학위]	�����Ź�	청년 지원 vs 부실 우려…부동산 규제 의견 ‘팽팽’	2026-07-15 10:29:00+00:00	http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20260716.22008004684	dongguk_core
2026-07-16	메일 제외	16	동국대 [법인/건학위]	Unknown	[부동산 토론회] “청년이면 다 실수요자냐”…주거사다리 해법 충돌	2026-07-15 09:42:00+00:00	https://www.tfmedia.co.kr/news/article.html?no=205798	dongguk_core
2026-07-16	메일 제외	17	동국대 [법인/건학위]	IT조선	금융위, 부동산금융 토론회 개최… 실수요자 기준부터 총량규제까지 '격...	2026-07-15 09:05:58+00:00	https://it.chosun.com/news/articleView.html?idxno=2023092165902	dongguk_core
2026-07-16	메일 제외	18	동국대 [법인/건학위]	딜사이트	주거 사다리냐, 집값 폭탄이냐…청년대출 딜레마	2026-07-15 09:20:50+00:00	https://dealsite.co.kr/articles/165412	dongguk_core
2026-07-16	메일 제외	19	동국대 [법인/건학위]	포쓰저널	[현장] 청년·전세대출 '일괄 완화' 경계론.."자산·소득 따라 지원 세분...	2026-07-15 09:27:35+00:00	http://www.4th.kr/news/articleView.html?idxno=2114821	dongguk_core
2026-07-16	메일 제외	20	동국대 [법인/건학위]	헤럴드경제	“금리인상기 청년대출 한도 못 늘려” vs. “직주근접 어려움 해소해야...	2026-07-15 10:14:02+00:00	https://biz.heraldcorp.com/article/10810264?ref=naver	dongguk_core
2026-07-16	메일 제외	21	동국대 [법인/건학위]	한국일보	"주거사다리 보호" vs "집값만 올려"… 청년·전세·이주비 대출 갑론을...	2026-07-15 09:49:00+00:00	https://www.hankookilbo.com/news/article/A2026071518050001677?did=NA	dongguk_core
