기준일	포함여부	순번	섹션	언론사	제목	발행일시	URL	수집풀
2026-07-20	메일 포함	1	동국대 [법인/건학위]	뉴데일리	동국대 류승윤 교수팀, OLED 수명 저하 원인 실시간 규명 … 엑시톤 산란·기생 엑시톤 확인	2026-07-19 07:04:24+00:00	https://biz.newdaily.co.kr/site/data/html/2026/07/19/2026071900079.html	dongguk_core
2026-07-20	메일 포함	2	동국대 [법인/건학위]	대한경제	동국대 법무대학원, 시니어산업개발 법무정책 최고위과정 4기 개강	2026-07-19 23:11:20+00:00	https://www.dnews.co.kr/uhtml/view.jsp?idxno=202607191601557130604	dongguk_core
2026-07-20	메일 포함	3	동국대 [법인/건학위]	Daum | 경북도민일보	김주원 동국대 WISE캠퍼스 교수, 산재예방 공로 인정받아	2026-07-19 10:53:41+00:00	https://v.daum.net/v/f33b17pXhf?f=p	dongguk_core
2026-07-20	메일 포함	4	동국대 [법인/건학위]	동국대학교	동국대 경기앵커사업단-고양산업진흥원, 업무협약 체결	2026-07-19 15:00:00+00:00	https://www.dongguk.edu/article/SCHOOLNEWS/detail/26765474	dongguk_core
2026-07-20	메일 포함	5	불교 [종단]	불교신문	"우리는 함께, 반드시, 실천하겠습니다!"…불도 부산, 지역포교 새 전기	2026-07-19 07:35:42+00:00	http://www.ibulgyo.com/news/articleView.html?idxno=440291	buddhism
2026-07-20	메일 포함	6	불교 [종단]	한국일보	세계유산위원회 본회의장 부산 벡스코에 '축구장 2배' 대한민국관	2026-07-19 04:00:00+00:00	https://www.hankookilbo.com/news/article/A2026071911210003712?did=NA	buddhism
2026-07-20	메일 포함	7	대학 [교육]	충청매일	교육교부금 수술대…교육계 진통 예상	2026-07-19 06:25:00+00:00	https://www.ccdn.co.kr/news/articleView.html?idxno=1089002	education
2026-07-20	메일 포함	8	대학 [교육]	뉴스1	OECD 평균 못 미친 고등교육 투자…교부금 개편에 커지는 재정 확대론 - 뉴스1	2026-07-19 21:30:00+00:00	https://www.news1.kr	education
2026-07-20	메일 제외	9	불교 [종단]	불교IN	부산·경남 어린이 500명 동시수계 “미래세대 포교에 전력” - 불교IN	2026-07-19 06:59:52+00:00	https://www.bulgyo-in.com/news/articleView.html?idxno=2900	buddhism
2026-07-20	메일 제외	10	불교 [종단]	현대불교	유네스코 세계유산위 부산서 개막, 韓 불교문화 세계에 알린다 - 현대불교	2026-07-19 12:38:18+00:00	https://www.hyunbulnews.com/news/articleView.html?idxno=504397	buddhism
2026-07-20	메일 제외	11	대학 [교육]	뉴스1	OECD 평균 못 미친 고등교육 투자…교부금 개편에 커지는 재정 확대론	2026-07-19 21:30:00+00:00	https://www.news1.kr/society/education/6230777	education
2026-07-20	메일 제외	12	불교 [종단]	현대불교	‘부산·경남 포교역량 결집’, 500 천진불 수계로 밝힌 미래 - 현대불교	2026-07-19 08:12:41+00:00	https://www.hyunbulnews.com/news/articleView.html?idxno=504395	buddhism
2026-07-20	메일 제외	13	불교 [종단]	헤럴드경제	여름밤 화엄사의 낭만...‘화야몽’서 도란도란 차 한 잔	2026-07-19 02:58:34+00:00	https://biz.heraldcorp.com/article/10812666?ref=naver	buddhism
2026-07-20	메일 제외	14	불교 [종단]	연합뉴스	조계종 총무원장 "지친 사람들 마음 곁에 다가서는 종교 돼야" - 연합뉴스	2026-07-19 08:21:06+00:00	https://www.yna.co.kr/amp/view/AKR20260719044600005	buddhism
2026-07-20	메일 제외	15	동국대 [법인/건학위]	경상투데이	김주원 동국대학교 WISE캠퍼스 교수, 경상북도지사 표창 수상 - 경상투데이	2026-07-19 03:15:19+00:00	https://www.gyeongsangtoday.com/news/view.php?idx=269132	dongguk_core
2026-07-20	메일 제외	16	동국대 [법인/건학위]	경북도민일보	김주원 동국대 WISE캠퍼스 교수, 산재예방 공로 인정받아 - hidomin.com	2026-07-19 10:53:08+00:00	https://www.hidomin.com/news/articleView.html?idxno=713806	dongguk_core
2026-07-20	메일 제외	17	불교 [종단]	남도일보	지리산 화엄사, 인문학 프로그램 '화야몽' 첫 강연 성료	2026-07-19 09:16:24+00:00	https://www.namdonews.com/news/articleView.html?idxno=917323	buddhism
2026-07-20	메일 제외	18	불교 [종단]	불교신문	제19교구 화엄사, 별빛 아래 차 한 잔 '화야몽' 성황	2026-07-19 05:05:00+00:00	http://www.ibulgyo.com/news/articleView.html?idxno=440285	buddhism
2026-07-20	메일 제외	19	불교 [종단]	여성동아	“부처님, 젠슨 황도 우리와 별반 다르지 않아… 수행은 셀프”	2026-07-19 22:00:02+00:00	https://woman.donga.com/3/all/12/6309556/1	buddhism
2026-07-20	메일 제외	20	불교 [종단]	btnnews.tv	[기획 'AI 시대, 불교의 길' ⑥] “AI는 수광체, 인간은 발광체”‥불교가 답하다 - btnnews.tv	2026-07-19 22:00:00+00:00	https://www.btnnews.tv	buddhism
