기준일	포함여부	순번	섹션	언론사	제목	발행일시	URL	수집풀
2026-07-14	메일 포함	1	동국대 [법인/건학위]	불교IN	동국대, 건학 이래 첫 교내 하안거 입재 “교학 넘어 실참으로"	2026-07-13 04:57:09+00:00	https://www.bulgyo-in.com/news/articleView.html?idxno=2865	
2026-07-14	메일 포함	2	동국대 [법인/건학위]	베리타스알파	동국대 WISE캠퍼스 지역 고교 베트남 유학생 대상 진로설명회/멘토링 개최	2026-07-13 07:46:08+00:00	https://www.veritas-a.com/news/articleView.html?idxno=619130	
2026-07-14	메일 포함	3	동국대 [법인/건학위]	불교신문	나경미 제일테크노스 명예회장, 동국대 후배 위해 2000만원 기부	2026-07-13 00:19:38+00:00	http://www.ibulgyo.com/news/articleViewAmp.html?idxno=440086	
2026-07-14	메일 포함	4	동국대 [법인/건학위]	시사오늘(시사ON)	유진바이오소프트, 동국대에 임상통계 소프트웨어 공급	2026-07-13 06:17:34+00:00	https://www.sisaon.co.kr/news/articleView.html?idxno=202648	
2026-07-14	메일 포함	5	대학 [교육]	동행미디어 시대	학생 줄어도 더 늘어나는 초중고 교부금 '대수술'…미국·일본은?	2026-07-13 09:13:56+00:00	https://www.sidae.com/article/2026071313101471608	education
2026-07-14	메일 포함	6	대학 [교육]	뉴스1	'80조' 교육교부금 어디에…영유아·고등·평생교육까지 재원 넓히나	2026-07-13 21:00:00+00:00	https://www.news1.kr/society/education/6226664	education
2026-07-14	메일 포함	7	불교 [종단]	BTN불교TV	[기획 'AI 시대, 불교의 길' ➀] "도구인가 친구인가"‥종교까지 파고든...	2026-07-13 22:00:00+00:00	https://www.btnnews.tv/news/articleView.html?idxno=90858	buddhism
2026-07-14	메일 포함	8	불교 [종단]	뉴시스	바다만 보고 갈건가요…불교박람회 이번엔 부산서 '비치볼' ○놀이 - 뉴시스	2026-07-13 15:10:00+00:00	https://www.newsis.com/view/NISX20260713_0003707453	buddhism
2026-07-14	메일 제외	9	미분류	Unknown	'AI는 전공 상관없다'…20개 대학, 모든 신입생 AI 교육 나선다	2026-07-13 08:53:57+00:00	https://www.gosiweek.com/article/1065602990818046	
2026-07-14	메일 제외	10	미분류	서울경제	[청론직설] “체감과 괴리 큰 착시경제 심각…‘쇼터미즘’ 벗고 장기비...	2026-07-13 08:49:40+00:00	https://www.sedaily.com/article/20067201?ref=naver	
2026-07-14	메일 제외	11	동국대 [법인/건학위]	대한경제	동국대 법무대학원, 도시정비 법무정책최고위과정 6기 모집 - 대한경제	2026-07-13 02:10:28+00:00	https://www.dnews.co.kr/uhtml/view.jsp?idxno=202607130853542440845	
2026-07-14	메일 제외	12	대학 [교육]	Unknown	온라인 대입 컨설팅 중단… 학부모 “고액 상담 받으란거냐”	2026-07-13 15:46:00+00:00	https://www.chosun.com/national/education/2026/07/14/3W4WGD6AKJEIXPQOMAVZ5JIX7U/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news	education
